iter	Passed	Remaining
1491	135890	319507
1492	135977	319406
1493	136064	319305
1494	136148	319197
1495	136231	319088
1496	136318	318986
1497	136411	318900
1498	136496	318796
1499	136582	318692
1500	136667	318587
1501	136755	318489
1502	136839	318382
1503	136928	318285
1504	137016	318188
1505	137104	318089
1506	137191	317989
1507	137274	317880
1508	137360	317776
1509	137444	317669
1510	137529	317563
1511	137615	317462
1512	137700	317358
1513	137792	317268
1514	137878	317165
1515	137968	317073
1516	138054	316970
1517	138141	316869
1518	138224	316760
1519	138310	316658
1520	138398	316559
1521	138489	316468
1522	138574	316365
1523	138660	316262
1524	138747	316161
1525	138832	316058
1526	138920	315959
1527	139004	315853
1528	139093	315757
1529	139179	315655
1530	139266	315554
1531	139352	315452
1532	139441	315357
1533	139523	315247
1534	139607	315140
1535	139698	315049
1536	139786	314952
1537	139872	314850
1538	139958	314747
1539	140045	314648
1540	140131	314545
1541	140222	314454
1542	140307	314349
1543	140393	314249
1544	140476	314139
1545	140558	314029
1546	140645	313929
1547	140729	313823
1548	140817	313726
1549	140906	313630
1550	140990	313524
1551	141080	313431
1552	141167	313331
1553	141255	313233
1554	141341	313133
1555	141433	313044
1556	141520	312944
1557	141607	312846
1558	141695	312747
1559	141788	312661
1560	141875	312562
1561	141959	312455
1562	142046	312356
1563	142130	312251
1564	142215	312147
1565	142302	312046
1566	142390	311949
1567	142475	311845
1568	142559	311742
1569	142644	311638
1570	142732	311539
1571	142816	311434
1572	142902	311333
1573	142985	311225
1574	143072	311126
1575	143157	311022
1576	143249	310933
1577	143337	310837
1578	143422	310732
1579	143504	310624
1580	143590	310522
1581	143678	310424
1582	143765	310327
1583	143852	310226
1584	143936	310121
1585	144029	310036
1586	144115	309935
1587	144201	309833
1588	144287	309731
1589	144374	309632
1590	144464	309541
1591	144549	309438
1592	144641	309348
1593	144726	309246
1594	144818	309157
1595	144902	309053
1596	144993	308961
1597	145077	308856
1598	145165	308761
1599	145253	308664
1600	145339	308562
1601	145427	308467
1602	145511	308360
1603	145595	308255
1604	145678	308148
1605	145768	308055
1606	145851	307949
1607	145935	307844
1608	146022	307745
1609	146104	307636
1610	146191	307537
1611	146281	307445
1612	146367	307343
1613	146456	307249
1614	146538	307141
1615	146628	307048
1616	146715	306951
1617	146805	306858
1618	146896	306768
1619	146984	306670
1620	147070	306570
1621	147155	306467
1622	147239	306363
1623	147327	306266
1624	147412	306163
1625	147495	306058
1626	147580	305956
1627	147667	305857
1628	147758	305766
1629	147844	305666
1630	147928	305562
1631	148013	305460
1632	148100	305360
1633	148186	305260
1634	148274	305165
1635	148363	305070
1636	148451	304974
1637	148538	304876
1638	148628	304783
1639	148714	304683
1640	148799	304580
1641	148889	304488
1642	148980	304398
1643	149071	304308
1644	149155	304205
1645	149240	304102
1646	149326	304002
1647	149414	303907
1648	149501	303808
1649	149591	303716
1650	149680	303622
1651	149771	303531
1652	149856	303430
1653	149946	303337
1654	150033	303240
1655	150127	303155
1656	150214	303058
1657	150298	302953
